predicado,usos,qué relación afirma,simétrico,ejemplo de fila
asociación_no_heredable_con*,1,,,C-985
asociado_con*,1,,,C-752
calibra_minimo*,1,,,C-723
cambia_resultado_de*,1,,,C-776
carece_de_balance_publicado*,1,,,C-1359
carece_de_comparación_cuantitativa*,1,,,C-1155
carece_de_cronología_comparable*,1,,,C-1642
carece_de_curva_publicada*,1,,,C-1480
carece_de_demostración_funcional*,1,,,C-1067
carece_de_duración_publicada*,1,,,C-1679
carece_de_edad_publicada*,1,,,C-1928
carece_de_fecha_única*,1,,,C-1676
carece_de_grupo_externo_proximo*,1,,,C-432
carece_de_medición_integrada*,1,,,C-1476
carece_de_medida_comparable*,1,,,C-1204
carece_de_métricas_evolutivas*,1,,,C-1614
carece_de_tasa_publicada*,1,,,C-1120
carece_de_tasa_y_coste_publicados*,1,,,C-1477
coexiste_con*,1,,,C-047
comparte_nodo_con*,1,,,C-1882
compite_por*,1,,,C-1296
conserva*,1,,,C-1233
contribuye_desproporcionadamente_a*,1,,,C-903
controla*,1,,,C-1032
coopera_en*,1,,,C-885
corregido_por*,1,,,C-1896
corrige*,1,,,C-1319
cuantifica*,1,,,C-835
cumple_requisitos_de*,1,,,C-1680
debilitada_por*,1,,,C-908
determina_polaridad_de*,1,,,C-431
determinado_por*,1,,,C-1691
distingue*,1,,,C-779
distingue_operacionalmente*,1,,,C-1946
documenta*,1,,,C-480
es_analogo_de*,1,,,C-315
es_secuestrado_por*,1,,,C-818
forma_clado_con*,1,,,C-901
forma_ensamblaje*,1,,,C-139
ilustra_mecanismo*,1,,,C-1442
induce_rosetas*,1,,,C-982
integra_senales*,1,,,C-859
intercambia_metabolito*,1,,,C-891
invalida_exclusión_universal*,1,,,C-1488
limita_alcance_de*,1,,,C-1340
limita_desarrollo_de*,1,,,C-642
modifica*,1,,,C-1489
modula*,1,,,C-1494
muestra_discordancia_entre*,1,,,C-666
no_aplica_directamente_a*,1,,,C-1409
no_atribuye_a*,1,,,C-1307
no_calibra_necesariamente*,1,,,C-1734
no_depende_de*,1,,,C-487
no_determina*,1,,,C-1720
no_diagnostica_por_si_solo*,1,,,C-696
no_discrimina*,1,,,C-291
no_equivale_universalmente_a*,1,,,C-1232
no_es_exhaustivo*,1,,,C-1711
no_es_huesped_de*,1,,,C-1018
no_es_sinonimo_de*,1,,,C-671
no_es_universal*,1,,,C-1221
no_especifica*,1,,,C-692
no_establece*,1,,,C-1060
no_establece_consenso*,1,,,C-203
no_exige*,1,,,C-1705
no_fecha_directamente*,1,,,C-1447
no_forman_escala*,1,,,C-1486
no_homologo_de*,1,,,C-1848
no_incluye*,1,,,C-320
no_localizado_en*,1,,,C-1581
no_miembro_de*,1,,,C-1842
no_observado_directamente_en*,1,,,C-1229
no_observado_en*,1,,,C-338
no_posee_limite*,1,,,C-1428
no_posee_marca*,1,,,C-1726
no_reconstruye*,1,,,C-258
no_recuperado_en*,1,,,C-659
no_representa*,1,,,C-1400
no_se_usa_como*,1,,,C-1677
no_selecciona*,1,,,C-051
observa_rasgo*,1,,,C-697
originado_por*,1,,,C-296
permite*,1,,,C-1490
pierde_clasificacion*,1,,,C-1807
plantea_problema*,1,,,C-055
posee_alcance_cuantitativo_local*,1,,,C-1635
posee_causa*,1,,,C-803
posee_ciclo*,1,,,C-1425
posee_circunscripcion*,1,,,C-973
posee_clases_evidencia*,1,,,C-147
posee_compensaciones*,1,,,C-1414
posee_compensación*,1,,,C-1342
posee_condicion*,1,,,C-828
posee_condiciones*,1,,,C-1459
posee_consecuencia*,1,,,C-904
posee_dependencia*,1,,,C-1165
posee_dependencias*,1,,,C-1411
posee_descripcion_de*,1,,,C-602
posee_dimensiones*,1,,,C-978
posee_doble_papel*,1,,,C-1406
posee_escalamiento*,1,,,C-1320
posee_excepcion*,1,,,C-1219
posee_fuentes_de_incertidumbre*,1,,,C-1357
posee_incertidumbre*,1,,,C-778
posee_incertidumbre_metodologica*,1,,,C-272
posee_limitacion_experimental*,1,,,C-1427
posee_mecanismo*,1,,,C-1402
posee_mecanismos_propuestos*,1,,,C-1183
posee_miembro*,1,,,C-690
posee_miembros*,1,,,C-083
posee_modalidades_de_coste*,1,,,C-1231
posee_orden_temporal*,1,,,C-1381
posee_perfil*,1,,,C-162
posee_rasgo_medido*,1,,,C-1297
posee_restriccion*,1,,,C-783
posee_restriccion_estratigrafica*,1,,,C-704
posee_resultados_ecologicos*,1,,,C-1103
posee_secuencia_cronologica*,1,,,C-848
posee_sensibilidad*,1,,,C-426
posee_trayectoria_propuesta*,1,,,C-1347
posee_umbral*,1,,,C-804
posee_variación*,1,,,C-1251
posee_vector_comparativo*,1,,,C-935
posee_vector_de_compilacion*,1,,,C-811
posee_vector_de_concentraciones_estimadas*,1,,,C-1940
posee_vector_de_estado_de_evidencia*,1,,,C-190
posee_vector_de_incertidumbre*,1,,,C-1674
posee_vector_de_inferencias_de_habitat*,1,,,C-834
posee_vector_de_inventario*,1,,,C-1135
posee_vector_de_inventario_funcional*,1,,,C-840
posee_vector_de_medición*,1,,,C-706
posee_vector_de_quimica_de_membrana*,1,,,C-054
posee_vector_de_razones*,1,,,C-910
posee_vector_de_resultados_redox*,1,,,C-842
produce*,1,,,C-1485
produce_artefacto*,1,,,C-434
propone_secuencia*,1,,,C-312
propuesto_como_caracter_de*,1,,,C-618
puede_carecer_de*,1,,,C-1686
puede_sesgar*,1,,,C-782
recicla*,1,,,C-913
recicla_fraccion_de_nitrogeno*,1,,,C-1205
recupera_senal*,1,,,C-050
recuperada_en*,1,,,C-497
registra_como_definicion*,1,,,C-521
regulado_por*,1,,,C-1718
remite_a*,1,,,C-565
representa_como_ramas_inmediatas*,1,,,C-519
requiere_orden*,1,,,C-329
resuelto_por_propuesta*,1,,,C-784
resume_como*,1,,,C-1649
retirado_por*,1,,,C-774
revierte_al_retirar_senal*,1,,,C-929
se_circunscribe_mediante*,1,,,C-498
se_convierte_en*,1,,,C-317
se_descompone_en*,1,,,C-1310
se_interpreta_segun*,1,,,C-689
se_normaliza_con*,1,,,C-684
se_recupera_consistentemente_en*,1,,,C-459
se_rige_por*,1,,,C-173
se_une_a*,1,,,C-143
separa*,1,,,C-898
sintetiza*,1,,,C-1921
sucede_a*,1,,,C-826
tiene_aceptacion*,1,,,C-1178
tiene_afinidad_propuesta*,1,,,C-785
tiene_alcance_documental*,1,,,C-014
tiene_apoyo_relativo*,1,,,C-1390
tiene_caso_documentado*,1,,,C-992
tiene_cobertura*,1,,,C-820
tiene_componentes_con_vigencia_distinta*,1,,,C-1860
tiene_correlato*,1,,,C-1121
tiene_costo*,1,,,C-062
tiene_dimensiones*,1,,,C-1866
tiene_distribucion_observada*,1,,,C-836
tiene_doble_uso*,1,,,C-1890
tiene_dosis_activa_menor*,1,,,C-865
tiene_edad_inferida*,1,,,C-1061
tiene_estado_nomenclatural*,1,,,C-084
tiene_fraccion_genomica*,1,,,C-1222
tiene_fraccion_modelada*,1,,,C-813
tiene_incertidumbre*,1,,,C-1622
tiene_interpretacion*,1,,,C-741
tiene_limitacion_probatoria*,1,,,C-981
tiene_limite_observado*,1,,,C-769
tiene_límite_inferior_estimado*,1,,,C-1944
tiene_muestreo*,1,,,C-1338
tiene_numero_de_candidatos*,1,,,C-1071
tiene_origen*,1,,,C-1920
tiene_origen_propuesto*,1,,,C-1610
tiene_rango_publicado*,1,,,C-773
tiene_recuento*,1,,,C-1202
tiene_relacion_causal*,1,,,C-145
tiene_resolucion_relativa*,1,,,C-1462
tiene_resultado*,1,,,C-1254
tiene_tipos_de_problema*,1,,,C-1886
tiene_trayectoria_reconstruida*,1,,,C-1088
tiene_umbral_aproximado*,1,,,C-1325
tiene_valor_estimado*,1,,,C-1939
tiene_valor_relativo*,1,,,C-817
tiene_version*,1,,,C-002
tiene_vigencia*,1,,,C-1891
traza_sustrato_a_producto*,1,,,C-1938
usa_como_estandar*,1,,,C-688
usa_como_referencia*,1,,,C-175
usa_marcador*,1,,,C-1234
